Sample;Participant;Age;Sex;Colourblind;1. How many, if any, contained areas with different shades of red do you see?;2. Can you tell the difference  between 1 and 2?;3. Can you tell the difference  between 2 and 3?;4. Can you tell the difference  between 1 and 3?;5A. Of 1, 2 and 3, which is the most different?;5B. What makes them different?;Light conditions;;;
8;3;20-29;female;No;2;Somewhat visible;No Difference ;Very visible;1;Lighter;Daylight;;;
8;4;20-29;female;No;3;Somewhat visible;Somewhat visible;Somewhat visible;1;Lighter;Daylight;;;
8;5;20-29;male;Yes;2;Somewhat visible;No Difference ;No Difference ;2;Darker;Electric;;;
8;6;20-29;female;No;5;Very visible;Very visible;Somewhat visible;3;Lighter;Electric;;;
8;7;20-29;female;No;2;Very visible;No Difference ;Very visible;1;Lighter;Electric;;;
8;8;20-29;male;No;2;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Electric;;;
9;1;20-29;Female;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Darker;Electric;;;
9;2;20-29;Male;No;3;Somewhat visible;Very visible;No Difference ;2;Other;Electric;;;
9;3;20-29;Male;No;1;Somewhat visible;Somewhat visible;No Difference ;2;Darker;Electric;;;
9;4;50-59;Female;No;5;Very visible;Somewhat visible;Somewhat visible;2;Darker;Electric;;;
9;5;20-29;Female;No;3;Somewhat visible;Very visible;Very visible;3;Darker;Electric;;;
9;6;20-29;Female;No;1;No Difference ;No Difference ;Somewhat visible;3;Darker;Electric;;;
10;1;20-29;Female;No;3;Very visible;No Difference ;Very visible;2;Lighter;Electric;;;
10;2;20-29;Female;No;2;Very visible;No Difference ;Very visible;1;Lighter;Electric;;;
10;3;20-29;Female;No;5;Very visible;Very visible;Somewhat visible;1;Darker;Electric;;;
10;4;20-29;Female;No;0;No Difference ;No Difference ;No Difference ;None;None;Electric;;;
10;5;20-29;Male;No;0;No Difference ;No Difference ;No Difference ;None;None;Electric;;;
10;6;20-29;Female;No;2;No Difference ;Somewhat visible;Somewhat visible;1;Lighter;Electric;;;
10;7;20-29;Male;No;2;Somewhat visible;Somewhat visible;Somewhat visible;1;Lighter;Electric;;;
10;8;50-59;Male;No;3;Somewhat visible;Somewhat visible;Somewhat visible;1;Darker;Daylight;;;
10;9;50-59;Female;No;3;No Difference ;No Difference ;No Difference ;None;None;Daylight;;;
10;10;50-59;Female;No;3;No Difference ;No Difference ;No Difference ;None;None;Daylight;;;
11;1;10-19;Female;No;5;Very visible;Somewhat visible;Very visible;1;Lighter;Daylight;;;
11;2;60-69;Male;No;8;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
11;3;50-59;Female;No;3;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
11;4;20-29;Female;No;3;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Electric;;;
11;5;20-29;Female;No;3;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
11;6;20-29;Male;No;3;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
